name_Jap,name_Eng,type,race,attribute,level,PS,atk,def,id,name_FullWidth_Jap
ヴェルズ・ナイトメア,Evilswarm Nightmare,MONSTER EFFECT XYZ,FIEND,DARK,4,,950,1950,359563,ヴェルズ・ナイトメア
ダイナミスト・ブラキオン,Dinomist Brachion,MONSTER EFFECT PENDULUM,MACHINE,WATER,5,6,2000,800,368382,ダイナミスト・ブラキオン
讃美火,Firebrand Hymnist,MONSTER EFFECT,PYRO,FIRE,3,,800,200,373085,讃美火
ガガガシスター,Gagaga Sister,MONSTER EFFECT,SPELLCASTER,DARK,2,,200,800,387282,ガガガシスター
エレキリン,Wattgiraffe,MONSTER EFFECT,THUNDER,LIGHT,4,,1200,100,402568,エレキリン
連合軍,The A. Forces,SPELL CONTINUOUS,,,,,,,403847,連合軍
召喚僧サモンプリースト,Summoner Monk,MONSTER EFFECT,SPELLCASTER,DARK,4,,800,1600,423585,召喚僧サモンプリースト
鉄の騎士 ギア・フリード,Gearfried the Iron Knight,MONSTER EFFECT,WARRIOR,EARTH,4,,1800,1600,423705,鉄の騎士 ギア・フリード
強欲ゴブリン,Goblin of Greed,MONSTER EFFECT,FIEND,EARTH,4,,1000,1800,425934,強欲ゴブリン
バハムート・シャーク,Bahamut Shark,MONSTER EFFECT XYZ,SEASERPENT,WATER,4,,2600,2100,440556,バハムート・シャーク
法の聖典,The Book of the Law,SPELL QUICKPLAY,,,,,,,458748,法の聖典
デストーイ・シザー・タイガー,Frightfur Tiger,MONSTER EFFECT FUSION,FIEND,DARK,6,,1900,1200,464362,デストーイ・シザー・タイガー
猛吹雪,Driving Snow,TRAP,,,,,,,473469,猛吹雪
ウォーター・スピリット,Water Spirit,MONSTER NORMAL TUNER,AQUA,WATER,1,,400,1200,487395,ウォーター・スピリット
超重荒神スサノ－O,Superheavy Samurai Warlord Susanowo,MONSTER EFFECT SYNCHRO,MACHINE,EARTH,10,,2400,3800,494922,超重荒神スサノ－Ｏ
プチトマボー,Cherry Inmato,MONSTER EFFECT TUNER,PLANT,DARK,2,,700,400,525110,プチトマボー
プリヴェント・ラット,Prevent Rat,MONSTER NORMAL,BEAST,EARTH,4,,500,2000,549481,プリヴェント・ラット
ミンゲイドラゴン,Totem Dragon,MONSTER EFFECT,DRAGON,EARTH,2,,400,200,564541,ミンゲイドラゴン
PSYフレーム・サーキット,PSY-Frame Circuit,SPELL FIELD,,,,,,,575512,ＰＳＹフレーム・サーキット
ダイガスタ・エメラル,Daigusto Emeral,MONSTER EFFECT XYZ,ROCK,WIND,4,,1800,800,581014,ダイガスタ・エメラル
アンクリボー,Ankuriboh,MONSTER EFFECT,FIEND,DARK,1,,300,200,595626,アンクリボー
毒蛇の牙,Snake Fang,TRAP,,,,,,,596051,毒蛇の牙
Sin レインボー・ドラゴン,Malefic Rainbow Dragon,MONSTER EFFECT SPSUMMON,DRAGON,DARK,10,,4000,0,598988,Ｓｉｎ レインボー・ドラゴン
彼岸の詩人 ウェルギリウス,"Virgil, Rock Star of the Burning Abyss",MONSTER EFFECT SYNCHRO,SPELLCASTER,LIGHT,6,,2500,1000,601193,彼岸の詩人 ウェルギリウス
剣闘獣レティアリィ,Gladiator Beast Retiari,MONSTER EFFECT,AQUA,WATER,3,,1200,800,612115,剣闘獣レティアリィ
Monster Express,Monster Express,MONSTER EFFECT,MACHINE,EARTH,4,,1500,1200,637216,Monster Express
サイバース・ガジェット,Cyberse Gadget,MONSTER EFFECT,CYBERSE,LIGHT,4,,1400,300,645087,サイバース・ガジェット
ガジェット・トークン,Gadget Token,MONSTER NORMAL TOKEN,CYBERSE,LIGHT,2,,0,0,645088,ガジェット・トークン
マジェスペクター・フロッグ,Majespecter Toad - Ogama,MONSTER EFFECT PENDULUM,SPELLCASTER,WIND,4,5,1300,500,645794,マジェスペクター・フロッグ
エーリアンモナイト,Alien Ammonite,MONSTER EFFECT TUNER,REPTILE,LIGHT,1,,500,200,652362,エーリアンモナイト
ダーク・バースト,Dark Eruption,SPELL,,,,,,,674561,ダーク・バースト
ゾディアックS,Zodiac Sign,SPELL FIELD,,,,,,,675319,ゾディアックＳ
ソーラー・エクスチェンジ,Solar Recharge,SPELL,,,,,,,691925,ソーラー・エクスチェンジ
サンダーエンド・ドラゴン,Thunder End Dragon,MONSTER EFFECT XYZ,DRAGON,LIGHT,8,,3000,2000,698785,サンダーエンド・ドラゴン
オルフェゴール・クリマクス,Orcust Crescendo,TRAP COUNTER,,,,,,,703897,オルフェゴール・クリマクス
海皇の狙撃兵,Atlantean Marksman,MONSTER EFFECT,SEASERPENT,WATER,3,,1400,0,706925,海皇の狙撃兵
アマゾネスの里,Amazoness Village,SPELL FIELD,,,,,,,712559,アマゾネスの里
王の憤激,Generaider Boss Bite,TRAP,,,,,,,720147,王の憤激
髑髏の寺院,Temple of Skulls,MONSTER NORMAL,ZOMBIE,DARK,4,,900,1300,732302,髑髏の寺院
彼岸の悪鬼 ラビキャント,"Rubic, Malebranche of the Burning Abyss",MONSTER EFFECT TUNER,FIEND,DARK,3,,100,2100,734741,彼岸の悪鬼 ラビキャント
マガジンドラムゴン,Vorticular Drumgon,MONSTER EFFECT LINK,DRAGON,DARK,3,,1000,42,739444,マガジンドラムゴン
虚の王 ウートガルザ,"Utgarda, Generaider Boss of Delusion",MONSTER EFFECT,ROCK,LIGHT,9,,2200,2700,744887,虚の王 ウートガルザ
ドローン,Doron,MONSTER NORMAL,WARRIOR,EARTH,2,,900,500,756652,ドローン
火霊使いヒータ,Hiita the Fire Charmer,MONSTER EFFECT FLIP,SPELLCASTER,FIRE,3,,500,1500,759393,火霊使いヒータ
魔導皇聖 トリス,Empress of Prophecy,MONSTER EFFECT XYZ,SPELLCASTER,LIGHT,5,,2000,1700,770365,魔導皇聖 トリス
逢魔ノ刻,Fateful Hour,TRAP,,,,,,,786906,逢魔ノ刻
超戦士の盾,Super Soldier Shield,TRAP COUNTER,,,,,,,799183,超戦士の盾
DDDの契約変更,D/D/D Contract Change,TRAP,,,,,,,811734,ＤＤＤの契約変更
ネオフレムベル・レディ,Neo Flamvell Lady,MONSTER EFFECT,PYRO,FIRE,4,,1600,200,816427,ネオフレムベル・レディ
ナンバーズ・ウォール,Number Wall,TRAP CONTINUOUS,,,,,,,847915,ナンバーズ・ウォール
運命のドロー,Draw of Fate,SPELL,,,,,,,856784,運命のドロー
ドラグニティアームズ－ミスティル,Dragunity Arma Mystletainn,MONSTER EFFECT,DRAGON,WIND,6,,2100,1500,876330,ドラグニティアームズ－ミスティル
パラレルポート・アーマー,Parallel Port Armor,TRAP,,,,,,,879958,パラレルポート・アーマー
怪鳥グライフ,Glife the Phantom Bird,MONSTER EFFECT,WINGEDBEAST,WIND,4,,1500,1500,899287,怪鳥グライフ
ドラグニティナイト－ゲイボルグ,Dragunity Knight - Gae Bulg,MONSTER EFFECT SYNCHRO,DRAGON,WIND,6,,2000,1100,900787,ドラグニティナイト－ゲイボルグ
垂直着陸,Vertical Landing,SPELL QUICKPLAY,,,,,,,904185,垂直着陸
幻獣機トークン,Mecha Phantom Beast Token,MONSTER NORMAL TOKEN,MACHINE,WIND,3,,0,0,904186,幻獣機トークン
予想GUY,Unexpected Dai,SPELL,,,,,,,911883,予想ＧＵＹ
ガガガタッグ,Gagagatag,SPELL,,,,,,,917796,ガガガタッグ
ギアギアーマー,Geargiarmor,MONSTER EFFECT,MACHINE,EARTH,4,,1100,1900,923596,ギアギアーマー
Boot-Up Corporal - Command Dynamo,Boot-Up Corporal - Command Dynamo,MONSTER EFFECT,MACHINE,EARTH,4,,0,2000,938717,Boot-Up Corporal - Command Dynamo
罰ゲーム！,Penalty Game!,TRAP,,,,,,,967928,罰ゲーム！
巨大要塞ゼロス,B.E.F. Zelos,SPELL FIELD,,,,,,,975299,巨大要塞ゼロス
アームド・ドラゴン LV3,Armed Dragon LV3,MONSTER EFFECT,DRAGON,WIND,3,,1200,900,980973,アームド・ドラゴン ＬＶ３
ハーフ・アンブレイク,Half Unbreak,TRAP,,,,,,,981540,ハーフ・アンブレイク
リ・バウンド,Rebound,TRAP COUNTER,,,,,,,983995,リ・バウンド
エクスプレスロイド,Expressroid,MONSTER EFFECT,MACHINE,EARTH,4,,400,1600,984114,エクスプレスロイド
DDD疾風王アレクサンダー,D/D/D Gust King Alexander,MONSTER EFFECT SYNCHRO,FIEND,WIND,7,,2500,2000,987311,ＤＤＤ疾風王アレクサンダー
トラブル・ダイバー,Doggy Diver,MONSTER EFFECT,WARRIOR,DARK,4,,1000,1000,1003028,トラブル・ダイバー
スターライト・ジャンクション,Starlight Junktion,SPELL FIELD,,,,,,,1003840,スターライト・ジャンクション
煉獄の落とし穴,Void Trap Hole,TRAP,,,,,,,1005587,煉獄の落とし穴
ジャンク・チェンジャー,Junk Changer,MONSTER EFFECT TUNER,WARRIOR,EARTH,3,,1500,900,1006081,ジャンク・チェンジャー
苦渋の決断,Painful Decision,SPELL,,,,,,,1033312,苦渋の決断
ミスフォーチュン,Misfortune,SPELL,,,,,,,1036974,ミスフォーチュン
ギアギアーノ Mk－II,Geargiano Mk-II,MONSTER EFFECT,MACHINE,EARTH,3,,1000,500,1045143,ギアギアーノ Ｍｋ－ＩＩ
星因士 ウヌク,Satellarknight Unukalhai,MONSTER EFFECT,WARRIOR,LIGHT,4,,1800,1000,1050186,星因士 ウヌク
Dream Mirror of Terror,Dream Mirror of Terror,SPELL FIELD,,,,,,,1050355,Dream Mirror of Terror
スクラップ・エリア,Scrapyard,SPELL,,,,,,,1050684,スクラップ・エリア
F.A.シティGP,F.A. City Grand Prix,SPELL FIELD,,,,,,,1061200,Ｆ.Ａ.シティＧＰ
マジック・プランター,Magic Planter,SPELL,,,,,,,1073952,マジック・プランター
運命の火時計,Pyro Clock of Destiny,TRAP,,,,,,,1082946,運命の火時計
暗黒のミミック LV3,Dark Mimic LV3,MONSTER EFFECT,FIEND,DARK,3,,1000,1000,1102515,暗黒のミミック ＬＶ３
ガーディアンの力,Power of the Guardians,SPELL EQUIP,,,,,,,1118137,ガーディアンの力
異次元の古戦場－サルガッソ,Sargasso the D.D. Battlefield,SPELL FIELD,,,,,,,1127737,異次元の古戦場－サルガッソ
サイバー・ドラゴン・ネクステア,Cyber Dragon Nachster,MONSTER EFFECT,MACHINE,LIGHT,1,,200,200,1142880,サイバー・ドラゴン・ネクステア
デッキロック,Deck Lockdown,SPELL CONTINUOUS,,,,,,,1149109,デッキロック
サブテラーマリス・グライオース,Subterror Behemoth Phospheroglacier,MONSTER EFFECT FLIP,AQUA,EARTH,8,,2600,2500,1151281,サブテラーマリス・グライオース
バージェストマ・レアンコイリア,Paleozoic Leanchoilia,TRAP,AQUA,WATER,,,,,1154611,バージェストマ・レアンコイリア
魔物の狩人,Kojikocy,MONSTER NORMAL,WARRIOR,EARTH,4,,1500,1200,1184620,魔物の狩人
幻煌龍の螺旋波,Phantasm Spiral Wave,SPELL EQUIP,,,,,,,1197847,幻煌龍の螺旋波
八汰鏡,Mirror of Yata,SPELL EQUIP,,,,,,,1200843,八汰鏡
方界法,Cubic Dharma,SPELL CONTINUOUS,,,,,,,1218214,方界法
邪神の大災害,Malevolent Catastrophe,TRAP,,,,,,,1224927,邪神の大災害
連鎖破壊,Chain Destruction,TRAP,,,,,,,1248895,連鎖破壊
聖光の宣告者,Herald of Pure Light,MONSTER EFFECT XYZ,FAIRY,LIGHT,2,,600,1000,1249315,聖光の宣告者
ジェムナイト・フュージョン,Gem-Knight Fusion,SPELL,,,,,,,1264319,ジェムナイト・フュージョン
Kozmo－シーミウズ,Kozmo Soartroopers,MONSTER EFFECT,PSYCHIC,DARK,3,,1000,1000,1274455,Ｋｏｚｍｏ－シーミウズ
古代の機械素体,Ancient Gear Frame,MONSTER EFFECT,MACHINE,EARTH,4,,1600,500,1278431,古代の機械素体
ヴァイロン・テトラ,Vylon Tetra,MONSTER EFFECT TUNER,MACHINE,LIGHT,2,,900,900,1281505,ヴァイロン・テトラ
マテリアルファルコ,Prime Material Falcon,MONSTER EFFECT,WINGEDBEAST,WIND,5,,2200,800,1287123,マテリアルファルコ
転生炎獣の聖域,Salamangreat Sanctuary,SPELL FIELD,,,,,,,1295111,転生炎獣の聖域
TG ストライカー,T.G. Striker,MONSTER EFFECT TUNER,WARRIOR,EARTH,2,,800,0,1315120,ＴＧ ストライカー
SPYRAL－ザ・ダブルヘリックス,SPYRAL Double Helix,MONSTER EFFECT LINK,WARRIOR,EARTH,2,,1900,10,1322368,ＳＰＹＲＡＬ－ザ・ダブルヘリックス
時空のペンデュラムグラフ,Time Pendulumgraph,TRAP CONTINUOUS,,,,,,,1344018,時空のペンデュラムグラフ
聖なる守り手,Mysterious Guard,MONSTER EFFECT FLIP,SPELLCASTER,EARTH,3,,800,1200,1347977,聖なる守り手
神の居城－ヴァルハラ,"Valhalla, Hall of the Fallen",SPELL CONTINUOUS,,,,,,,1353770,神の居城－ヴァルハラ
粋カエル,Ronintoadin,MONSTER EFFECT,AQUA,WATER,2,,100,2000,1357146,粋カエル
フォトン・クラッシャー,Photon Crusher,MONSTER EFFECT,WARRIOR,LIGHT,4,,2000,0,1362589,フォトン・クラッシャー
吸血コアラ,Vampiric Koala,MONSTER EFFECT,BEAST,EARTH,4,,1800,1500,1371589,吸血コアラ
相乗り,Shared Ride,SPELL QUICKPLAY,,,,,,,1372887,相乗り
陽炎獣 スピンクス,Hazy Flame Sphynx,MONSTER EFFECT,BEASTWARRIOR,FIRE,6,,1900,1900,1409474,陽炎獣 スピンクス
レアメタル・ナイト,Super Roboyarou,MONSTER EFFECT FUSION,MACHINE,EARTH,6,,1200,500,1412158,レアメタル・ナイト
No.48 シャドー・リッチ,Number 48: Shadow Lich,MONSTER EFFECT XYZ,ZOMBIE,DARK,3,,1800,0,1426714,Ｎｏ.４８ シャドー・リッチ
幻影トークン,Phantom Token,MONSTER NORMAL TOKEN,FIEND,DARK,1,,500,500,1426715,幻影トークン
カオス・ネクロマンサー,Chaos Necromancer,MONSTER EFFECT,FIEND,DARK,1,,0,0,1434352,カオス・ネクロマンサー
ドラゴンの秘宝,Dragon Treasure,SPELL EQUIP,,,,,,,1435851,ドラゴンの秘宝
ハチビー,Bee List Soldier,MONSTER EFFECT,INSECT,WIND,1,,500,400,1474910,ハチビー
闇の誘惑,Allure of Darkness,SPELL,,,,,,,1475311,闇の誘惑
副話術士クララ＆ルーシカ,"Clara & Rushka, the Ventriloduo",MONSTER EFFECT LINK,SPELLCASTER,EARTH,1,,0,128,1482001,副話術士クララ＆ルーシカ
六武衆の影武者,Kagemusha of the Six Samurai,MONSTER EFFECT TUNER,WARRIOR,EARTH,2,,400,1800,1498130,六武衆の影武者
オルターガイスト・ヘクスティア,Altergeist Hexstia,MONSTER EFFECT LINK,SPELLCASTER,FIRE,2,,1500,34,1508649,オルターガイスト・ヘクスティア
ルーンアイズ・ペンデュラム・ドラゴン,Rune-Eyes Pendulum Dragon,MONSTER EFFECT FUSION,DRAGON,DARK,8,,3000,2000,1516510,ルーンアイズ・ペンデュラム・ドラゴン
7つの武器を持つハンター,The Hunter with 7 Weapons,MONSTER EFFECT,WARRIOR,EARTH,3,,1000,600,1525329,７つの武器を持つハンター
空牙団の叡智 ウィズ,"Wiz, Sage Fur Hire",MONSTER EFFECT,SPELLCASTER,WATER,7,,1600,2800,1527418,空牙団の叡智 ウィズ
レアル・ジェネクス・マグナ,R-Genex Magma,MONSTER EFFECT,PYRO,FIRE,3,,1000,200,1533292,レアル・ジェネクス・マグナ
スペーシア・ギフト,Space Gift,SPELL,,,,,,,1539051,スペーシア・ギフト
サイバー・エンド・ドラゴン,Cyber End Dragon,MONSTER EFFECT FUSION,MACHINE,LIGHT,10,,4000,2800,1546123,サイバー・エンド・ドラゴン
サイバー・エンド・ドラゴン,Cyber End Dragon,MONSTER EFFECT FUSION,MACHINE,LIGHT,10,,4000,2800,1546124,サイバー・エンド・ドラゴン
復讐の女戦士ローズ,"Rose, Warrior of Revenge",MONSTER EFFECT TUNER,WARRIOR,FIRE,4,,1600,600,1557341,復讐の女戦士ローズ
銀の弓矢,Silver Bow and Arrow,SPELL EQUIP,,,,,,,1557499,銀の弓矢
ABC－ドラゴン・バスター,ABC-Dragon Buster,MONSTER EFFECT FUSION,MACHINE,LIGHT,8,,3000,2800,1561110,ＡＢＣ－ドラゴン・バスター
テイ・キューピット,Cupid Serve,MONSTER EFFECT,FAIRY,LIGHT,2,,1000,600,1566817,テイ・キューピット
白い忍者,White Ninja,MONSTER EFFECT FLIP,WARRIOR,LIGHT,4,,1500,800,1571945,白い忍者
ダイナミスト・ステゴサウラー,Dinomist Stegosaur,MONSTER EFFECT PENDULUM,MACHINE,WATER,4,3,1600,1800,1580833,ダイナミスト・ステゴサウラー
ディープ・スペース・クルーザー・ナイン,Deep-Space Cruiser IX,MONSTER EFFECT,MACHINE,LIGHT,9,,900,900,1586457,ディープ・スペース・クルーザー・ナイン
次元要塞兵器,Dimension Fortress Weapon,MONSTER EFFECT,MACHINE,DARK,4,,1700,200,1596508,次元要塞兵器
ダーク・レクイエム・エクシーズ・ドラゴン,Dark Requiem Xyz Dragon,MONSTER EFFECT XYZ,DRAGON,DARK,5,,3000,2500,1621413,ダーク・レクイエム・エクシーズ・ドラゴン
昇天の剛角笛,Grand Horn of Heaven,TRAP COUNTER,,,,,,,1637760,昇天の剛角笛
神竜騎士フェルグラント,Divine Dragon Knight Felgrand,MONSTER EFFECT XYZ,WARRIOR,LIGHT,8,,2800,1800,1639384,神竜騎士フェルグラント
フュージョニスト,Fusionist,MONSTER FUSION,BEAST,EARTH,3,,900,700,1641882,フュージョニスト
ヴァイロン・セグメント,Vylon Segment,SPELL EQUIP,,,,,,,1644289,ヴァイロン・セグメント
炎星師－チョウテン,Brotherhood of the Fire Fist - Spirit,MONSTER EFFECT TUNER,BEASTWARRIOR,FIRE,3,,500,200,1662004,炎星師－チョウテン
魔力浄化,Spell Purification,TRAP,,,,,,,1669772,魔力浄化
アルティマヤ・ツィオルキン,Ultimaya Tzolkin,MONSTER EFFECT SYNCHRO,DRAGON,DARK,12,,0,0,1686814,アルティマヤ・ツィオルキン
百獣大行進,The Big March of Animals,SPELL QUICKPLAY,,,,,,,1689516,百獣大行進
PSYフレームギア・ε,PSY-Framegear Epsilon,MONSTER EFFECT TUNER SPSUMMON,PSYCHIC,LIGHT,2,,1500,0,1697104,ＰＳＹフレームギア・ε
Sin サイバー・エンド・ドラゴン,Malefic Cyber End Dragon,MONSTER EFFECT SPSUMMON,MACHINE,DARK,10,,4000,2800,1710476,Ｓｉｎ サイバー・エンド・ドラゴン
発条補修ゼンマイコン,Wind-Up Zenmaintenance,MONSTER EFFECT LINK,MACHINE,LIGHT,2,,1800,5,1735088,発条補修ゼンマイコン
幻魔の肖像,Fiendish Portrait,TRAP,,,,,,,1759808,幻魔の肖像
キャッツ・フェアリー,Nekogal #1,MONSTER NORMAL,BEAST,EARTH,3,,1100,900,1761063,キャッツ・フェアリー
デスカイザー・ドラゴン／バスター,Doomkaiser Dragon/Assault Mode,MONSTER EFFECT SPSUMMON,ZOMBIE,FIRE,8,,2900,2000,1764972,デスカイザー・ドラゴン／バスター
風林火山,Fuh-Rin-Ka-Zan,TRAP,,,,,,,1781310,風林火山
ワイルド・ラプター,Uraby,MONSTER NORMAL,DINOSAUR,EARTH,4,,1500,800,1784619,ワイルド・ラプター
ティマイオスの眼,The Eye of Timaeus,SPELL,,,,,,,1784686,ティマイオスの眼
トランシケーダ,Transcicada,MONSTER EFFECT TUNER,INSECT,EARTH,3,,800,1000,1799464,トランシケーダ
ヌケガラトークン,Moult Token,MONSTER NORMAL TOKEN,INSECT,EARTH,3,,0,0,1799465,ヌケガラトークン
遠心分離フィールド,Centrifugal Field,SPELL FIELD,,,,,,,1801154,遠心分離フィールド
木遁封印式,Sealing Ceremony of Mokuton,TRAP CONTINUOUS,,,,,,,1802450,木遁封印式
呪われた棺,Dark Coffin,TRAP,,,,,,,1804528,呪われた棺
超量合神－マグナフォーメーション,Super Quantal Union - Magnaformation,TRAP CONTINUOUS,,,,,,,1825445,超量合神－マグナフォーメーション
トイナイト,Toy Knight,MONSTER EFFECT,MACHINE,EARTH,4,,200,1200,1826676,トイナイト
六武衆の影－紫炎,Shadow of the Six Samurai - Shien,MONSTER EFFECT XYZ,WARRIOR,EARTH,4,,2500,400,1828513,六武衆の影－紫炎
H・C サウザンド・ブレード,Heroic Challenger - Thousand Blades,MONSTER EFFECT,WARRIOR,EARTH,4,,1300,1100,1833916,Ｈ・Ｃ サウザンド・ブレード
エレキュア,Wattcine,SPELL CONTINUOUS,,,,,,,1834107,エレキュア
マックス・テレポーター,Overdrive Teleporter,MONSTER EFFECT,PSYCHIC,LIGHT,6,,2100,1200,1834753,マックス・テレポーター
簡易融合,Instant Fusion,SPELL,,,,,,,1845204,簡易融合
武神帝－カグツチ,Bujintei Kagutsuchi,MONSTER EFFECT XYZ,BEASTWARRIOR,LIGHT,4,,2500,2000,1855932,武神帝－カグツチ
デコード・トーカー,Decode Talker,MONSTER EFFECT LINK,CYBERSE,DARK,3,,2300,133,1861629,デコード・トーカー
デコード・トーカー,Decode Talker,MONSTER EFFECT LINK,CYBERSE,DARK,3,,2300,133,1861630,デコード・トーカー
"Morpheus, the Dream Mirror White Knight","Morpheus, the Dream Mirror White Knight",MONSTER EFFECT,WARRIOR,LIGHT,8,,1000,2800,1872843,"Morpheus, the Dream Mirror White Knight"
次元誘爆,Dimension Explosion,SPELL QUICKPLAY,,,,,,,1896112,次元誘爆
ゴブリンの小役人,Minor Goblin Official,TRAP CONTINUOUS,,,,,,,1918087,ゴブリンの小役人
キーメイス,Key Mace,MONSTER NORMAL,FAIRY,LIGHT,1,,400,300,1929294,キーメイス
王の報酬,Generaider Boss Loot,SPELL CONTINUOUS,,,,,,,1942635,王の報酬
E・HERO ノヴァマスター,Elemental HERO Nova Master,MONSTER EFFECT FUSION,WARRIOR,FIRE,8,,2600,2100,1945387,Ｅ・ＨＥＲＯ ノヴァマスター
